#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,The Creator,English,,2D,ScreenX,2K,5.1,2.39:1,2.39:1,2023.09.29,2023.09.30,"Pacific Outlet Mall, Jasola, Delhi",,
,Spider-Man Across The Spider-Verse,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.06.01,2023.10.10,"Bestech Square Mall, Mohali",,
,The Exorcist: Beliver,English,,2D,IMAX with Laser,2K,5.1,2.39:1,1.85:1,2033.10.06,2023.10.13,"Priya Cinema, Vasant Vihar, Delhi",,
,Gravity,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2023.10.13,2023.10.13,"Priya Cinema, Vasant Vihar, Delhi",,
,Gran Turismo,English,,2D,,2K,5.1,2.39:1,1.85:1,2023.08.25,2023.08.27,"TDI Jagat, Chandigarh, India",,
,Killers of the Flower Moon,English,,2D,P[XL],2K,5.1,2.39:1,2.39:1,2023.10.27,2023.11.02,"CP67 Mall, Mohali",,
,The Marvels,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2024.11.10,2023.11.11,"Paras Cinema, Nehru Enclave, Delhi",,
,The Marvels,English,,2D,ScreenX,2K,5.1,2.39:1,2.39:1,2023.11.10,2023.11.11,"Pacific Outlet Mall, Jasola, Delhi",,
,Sam Bahaadur,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.12.01,2023.12.02,"Centra Mall, Chandigarh, India",,
,Animal,Hindi,,2D,P[XL],2K,5.1,1.85:1,2.39:1,2023.12.01,2023.12.03,"CP67 Mall, Mohali",,
,Tiger 3,Hindi,English,2D,,2K,5.1,2.39:1,2.39:1,2023.11.12,2023.12.14,"CP67 Mall, Mohali",,
,Wonka,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.12.08,2023.12.17,"CP67 Mall, Mohali",,
,Aquaman and the Lost Kingdom,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2023.12.21,2023.12.21,"Priya Cinema, Vasant Vihar, Delhi",,
,Walking on Moon,Hindi,,3D,IMAX 15/70,2K,5.1,2.39:1,2.39:1,2005.07.01,2023.12.22,"Gujarat Science City, Ahmedabad",,
,T-rex,Hindi,,3D,IMAX 15/70,2K,5.1,2.39:1,2.39:1,2005.06.20,2023.12.22,"Gujarat Science City, Ahmedabad",,
,Migration,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,2023.12.29,2023.12.30,"TDI Jagat, Chandigarh, India",,
,Madame Web,English,English,2D,,2K,5.1,2.39:1,2.39:1,2023.12.30,2023.12.31,"TDI Jagat, Chandigarh, India",,
,Anyone But You,English,English,2D,,2K,5.1,2.39:1,2.39:1,2023.12.31,2024.01.01,"Elante Mall, Chandigarh, India",,
,Dune,English,English,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2024.01.01,2024.01.02,"Priya Cinema, Vasant Vihar, Delhi",,
,Dune Part Two,English,English,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2024.01.02,2024.01.03,"Priya Cinema, Vasant Vihar, Delhi",,
,Dune Part Two,English,English,2D,ScreenX,2K,5.1,2.39:1,2.39:1,,,"Pacific Outlet Mall, Jasola, Delhi",,
