#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Ant-Man and the Wasp: Quantamania,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,17-Feb-23,19-Feb-23,"TDI Jagat, Chandigarh, India",,
,Scream VI,English,,2D,,2K,5.1,2.39:1,2.39:1,10-Mar-23,15-Mar-23,"Bestech Square Mall, Mohali",,
,Shazam! Fury of the Gods,English,,2D,,2K,5.1,2.39:1,2.39:1,17-Mar-23,18-Mar-23,"Centra Mall, Chandigarh, India",,
,John Wick Chapter 4,English,,2D,4DX,2K,5.1,2.39:1,2.39:1,24-Mar-23,25-Mar-23,"Elante Mall, Chandigarh, India",,
,Dungeons & Dragons: Honor Among Thieves,English,,2D,,2K,5.1,2.39:1,2.39:1,31-Mar-23,,"TDI Jagat, Chandigarh, India",,
,The Super Mario Bros. Movie,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,7-Apr-23,8-Apr-23,"Bestech Square Mall, Mohali",,
,Evil Dead Rise,English,,2D,,2K,5.1,2.39:1,2.39:1,21-Apr-23,23-Apr-23,"TDI Jagat, Chandigarh, India",,
,Titanic,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,10-Feb-23,11-Feb-23,"Select Citywalk, Saket, Delhi",,
,Guardians of the Galaxy Vol. 3,English,,3D,IMAX,2K,5.1,2.39:1,2.39:1,5-May-23,6-May-23,"Logix City Center, Noida",,
,Fast X,Hindi,,3D,,2K,5.1,2.39:1,2.39:1,18-May-23,,"TDI Jagat, Chandigarh, India",,
,Interstellar,English,,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,7-Nov-23,28-May-23,"Select Citywalk,Saket, Delhi",,
,The Flash,English,,2D,IMAX,2K,5.1,2.39:1,1.90:1,15-Jun-23,16-Jun-23,"Vegas Mall, Dwarka, Delhi",,
,Elemental,English,,3D,RealD,2K,5.1,2.39:1,1.85:1,23-Jun-23,24/06/2023,"TDI Jagat, Chandigarh, India",,
